;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;0;Customer FCST;Customer FCST;Customer FCST;;;;;;;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;;;;;;;;;;
304 / 304L;1.4301;0.3;N11055;-0.015;0.015;N11055;0;0.4;555;Slit;TL;N;ELRING KLINGER AG;ElringKlinger AG;N;;N9617;4395;0;5386;0;0;9500;0;2000;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Frank;Merlin
304 / 304L;1.4301;0.3;;-0.03;0.03;N9359;0;0.3;135;Slit;TL;N;Koelle GmbH;Koelle GmbH;Y;;;0;2813;0;2622;0;3000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.3;;-0.02;0.02;N9617;0;0.3;110;Slit;TL;N;Koelle GmbH;Koelle GmbH;N;;N11055;0;3437;0;4284;0;4000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.3;;-0.02;0.02;N9695;0;0.3;119;Slit;TL;N;Koelle GmbH;Koelle GmbH;Y;;;0;0;0;2326;0;2000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
;1.4301;0.3;;;;;;;;;;;0;;;;;4395;6250;5386;9232;0;18500;0;2000;0;0;0;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
304 / 304L;1.4301;0.3;"N15996
N1469";-0.02;0.02;N12337;-0.4;0;125;Slit;SKP/TL;N;LOVAL OY;LOVAL OY;Y;;;33878;0;0;19493;6519;10000;0;15000;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;X;;;;;Sophie;Erika
304 / 304L;1.4301;0.3;;-0.02;0.02;N12655;-0.25;0.25;106;Slit;SKP/TL;N;0;STAYSTRIP GROUP LTD.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;James;Livio
304 / 304L;1.4301;0.3;;-0.02;0.02;N13012;-0.05;0.05;27.65;Slit;SKP/TL;N;BACKER BHV AB;BACKER BHV AB;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Sophie;Erika
304 / 304L;1.4301;0.3;;-0.03;0.03;N13952;-0.5;0;255;Slit;SKP/TL;N;Klaus Baier GmbH & Co. KG;Klaus Baier GmbH & Co. KG;;;;1178;0;0;0;1247;1000;0;0;1000;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Dejan;Angela
304 / 304L;1.4301;0.3;;-0.03;0.03;N1469;0;0.4;400;Slit;SKP/TL;N;Klaus Baier GmbH & Co. KG;Klaus Baier GmbH & Co. KG;;;;37598;13012;24599;25174;12630;26000;0;26000;26000;0;0;0;;;;#REF!;0;;;;;18;;;36;;0;72;0;0;0;0;0;36;-54;74.09;33.91;;X;;;;Dejan;Angela
304 / 304L;1.4301;0.3;;-0.04;0.04;N15176;0;0.12;26;Slit;SKP/TL;N;0;Amari Metals s.r.o.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Sophie; Lucie
