;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;8758.666667;Customer FCST;Customer FCST;Customer FCST;PIC FCST;;;;2026-07;;;;;;;;;;;;
;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;result;;;;;;;;;;;2026-02;2026-07;;;;;18;0;0;0;0;0;18;0;0;;;;;;;
Grade (ASTM);Grade (EN);Thickness (mm);Group n-code;Thickness tolerance - (mm);Thickness tolerance + (mm);Covers N-codes;TS min (MPA);TS Max (MPA);Width (mm);Edge;Surface;Cold reduction max. (Y/N);"Customer 
(Sold-to)";"Customer 
(ship-to)";Produced alone (Y/N);Combined with N-code;Ø monthly mt N-code;Ø monthly mt APC N-code ;3 month quantity (kg);2025-1;2025-2;2025-3;2025-4;2025-5;2025-6;2025-7;2025-8;2025-9;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2026-10;2026-11;2026-12;"Frequency
(#)";"Ø 6 months
(kg/month)";2026-10;2026-11;2026-12;Q4 Expect;"June.26
James
Preparation quantity
(mt)";;;"JUL
Irinel 
JUL Production
Plan quantity";;;"24th JUN
Orer Balance
Quantity (mt)";"24th JUN
Produced Quantity (mt)";"24th JUN
Production Balance Quantity (mt)";PO short;PO long;FC client;TBA/ mothercoil  ;Request for origin;External PIC;Internal PIC
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;B;C;D;E;F;G=(A+B+C)-(D+E+F);H;I=(D+E+F)-H;;;;;;;
301(HT3);1.431;0.5;N8461;-0.013;0.013;N8461;;;67;;2H;;KGW Gerber Edelstaehle GmbH;KGW Gerber Edelstaehle GmbH;;;;0;0;;;;;;;;;;;;;0;0;0;11534;0;0;0;0;0;0;0;0;;;;1;1922.333333;;;;spot biz;;;;0;0;0;0;0;;;;;;;Patrick;Merlin
301(HT3);1.431;0.5;;-0.025;0.025;N14249;;;24;;2H;;BAND-UND FEINSTAHL SERVICE RUDOLPH;BAND-UND FEINSTAHL SERVICE RUDOLPH;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;in clarification;;;;0;0;0;0;0;;;;;;;Patrick;Manfred
;1.431;0.5;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11534;0;0;0;0;0;0;0;0;;;;;1922.333333;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
301(HT3);1.431;0.6;N9494;-0.02;0.02;N9494;;;30;;2H;;Areco Industry AB;Hoffmans Verkstads AB;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;0;;;0;0;0;0;0;0;;;;;;;
301(HT3);1.431;0.75;N9493;-0.035;0.035;N9493;;;300;;2H;;GEORG NOBITSCHEK GMBH & CO;GEORG NOBITSCHEK GMBH & CO;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;0;0;;;0;0;0;0;0;0;;;;;;Patrick;Adrian
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301(HT5);1.431;0.6;N15947;-0.012;0.012;N15947;1345;1500;400;;2H;;ELRING KLINGER AG;ElringKlinger AG;;;;0;0;;;;;;;;;;;;;2524;1769;7388;0;23892;14000;19500;18500;0;0;0;0;;;;5;11091.5;;;;54000;54;;;0;0;0;54;0;;;;;;;Frank G.;Merlin
301(HT5);1.431;0.6;;-0.012;0.012;N17080;1345;1500;386;;2H;;ELRING KLINGER AG;Elring Klinger AG;;;;;0;;;;;;;;;;;;;0;1719;0;1001;1203;1000;0;1000;1000;1000;2000;0;;;;4;820.5;;;;0;;;;0;0;0;0;0;;;;;;;Frank G.;Merlin
;1.431;0.6;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2524;3488;7388;1001;25095;15000;19500;19500;1000;1000;2000;0;;;;;11912;;;;54000;54;0;0;0;0;0;54;0;0;;;;;;;
301(HT5);1.431;0.65;N17291;-0.012;0.012;N17291;1345;1500;125;;2H;;Elring Klinger Mexico SA DE CV;Elring Klinger Mexico SA DE CV;;;;0;0;;;;;;;;;;;;;0;0;1053;0;989;0;0;0;0;0;0;0;;;;2;340.3333333;;;;18000;18;;;0;0;0;18;0;;;;;;;Frank G.;Merlin
301(HT5);1.431;0.65;;-0.012;0.012;N17290;1345;1500;175;;2H;;Elring Klinger Mexico SA DE CV;Elring Klinger Mexico SA DE CV;;;;;0;;;;;;;;;;;;;0;0;0;0;0;1000;0;0;0;0;0;0;;;;1;166.6666667;;;;0;;;;0;0;0;0;0;0;;;;;;Frank G.;Merlin
;1.431;0.65;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1053;0;989;1000;0;0;0;0;0;0;;;;;507;;;;18000;18;0;0;0;0;0;18;0;0;;;;;;;
301(HT5);1.431;0.7;N17389;-0.014;0.014;N17389;1700;1900;102;;2H;;BANDSTAHLSERVICE SCHLAG;BANDSTAHLSERVICE SCHLAG;;;;0;0;;;;;;;;;;;;;0;2037;0;0;0;1500;0;0;0;0;0;0;;;;2;1768.5;;;;in clarification;0;;;0;0;0;0;0;0;;;;;;;
