SDG S/O Number;Ncode;Customer PO No.;Otx Item;Surface;Grade;Thickness;Width;Material;Description;     Order Qty;In Production Qty;   Produced Qty;    In Transit;Transfered Qty;Final Qty;Production Balance;Warehouse STOCK Qty;RequestDeliveryDate;OTX Sales Order;Status Description;;
APC_DEC_Prep;N16283;CSM Tube Spa;170;2B;1.4307;0.43;43.6;542ATV040NA0050;CRC/SLIT 1.4307 2B 0.43X43.6MM;18;0;-19.7;19.7;0;0;-18;0;46752;32086496;;;
APC_DEC_Prep;N0243A;Alfa Laval Technologies AB;180;2B;1.4301;0.481;375;542ATY050NA0236;CRC/Slit 1.4301 2B 0.481x375mm;72;0;-77.12;77.12;0;0;-72;2.753;46752;32086496;;;
APC_DEC_Prep;N13354;Kelvion PHE GmbH;190;2B;1.4301;0.5;1000;542ATY0501A0003;CRC/Slit 1.4301 2B 0.50x1000mm;54;0;0;58.3;0;0;-54;0;46752;32086496;;;
APC_DEC_Prep;;;;;;;;;;927;0;-328.58;942.79;0;0;-927;76.993;;;;;
APC_FEB_Prep;N15410;MR Transport;10;2B;1.4301;0.4;398;542ATY040NA0141;CRC/SLIT 1.4301 2B 0.4X398MM;72;0;-76.96;76.96;0;0;-72;14.373;46752;32087379;;;
APC_FEB_Prep;N14486;Norder Band AG;20;2B;1.4307;0.4;1270;542AMV0403A0002;CRC/Mill 1.4307 2B 0.4x1270mm;36;0;0;19.45;0;0;-36;0;46752;32087379;;;
APC_FEB_Prep;N10963;MAHLE Behr GmbH & Co. KG;30;2B;1.4301;0.42;38.5;542ATY040NA0097;CRC/Slit 1.4301 2B 0.42x38.5mm;18;0;-19.55;19.55;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N13314;Zoppas Industries RO;40;2B;1.4307;0.45;28.8;542ATV045NA0002;CRC/Slit 1.4307 2B 0.45x28.8mm;18;0;-18.92;18.92;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N14740;NBD LOGISTICA;50;2B;1.4307;0.5;14.35;542ATV050NA0056;CRC/Slit 1.4307 2B 0.50x14.35mm;18;0;-19.08;19.08;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N1134A;PG Germany;60;2B;1.4301;0.5;1000;542ATY0501A0015;CRC/Slit 1.4301 2B 0.50x1000mm;72;0;-58.62;58.62;0;0;-72;0;46752;32087379;;;
APC_FEB_Prep;N6164A;Norder Band AG;70;2B;1.4307;0.5;1270;542AMV0503A0002;CRC/Mill 1.4307 2B 0.5x1270mm;198;0;0;175.12;0;0;-198;0;46752;32087379;;;
APC_FEB_Prep;N16533;TAD INOX;80;2B;1.4307;0.6;1000;542ATV0601A0003;CRC/Slit 1.4307 2B 0.60x1000mm;18;0;0;19.46;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N2688;Palmer-Bleche;90;2B;1.4301;0.7;1000;542ATY0701A0019;CRC/Slit 1.4301 2B 0.70x1000mm;18;0;-17.28;17.28;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N16131;Schoeller Werk;100;2B;1.4307;0.7;30.5;542ATV070NA0031;CRC/SLIT 1.4307 2B 0.7X30.5MM;18;0;-19.41;19.41;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N16132;Schoeller Werk;110;2B;1.4307;0.7;24.2;542ATV070NA0030;CRC/SLIT 1.4307 2B 0.7X24.2MM;72;0;-78.68;78.68;0;0;-72;0;46752;32087379;;;
APC_FEB_Prep;N11380;Inovan GMBH;120;2B;1.4301;0.8;150;542ATY080NA0038;CRC/Slit 1.4301 2B 0.80x150mm;18;0;0;0;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N16365;Schoeller Werk;130;2B;1.4307;0.8;36.5;542ATV080NA0011;CRC/SLIT 1.4307 2B 0.8X36.5MM;18;0;-19.4;19.4;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N6356;Swep International AB;140;2B;1.4307;1;82;542ATV100NA0002;CRC/Slit 1.4307 2B 1.00x82mm;18;0;-19.1;19.1;0;0;-18;13.113;46752;32087379;;;
